feature,importance
Dependents,0.055444326
MonthlyChargesRatio,0.05265852
MonthlyCharges,0.051915642
InternetService,0.04723689
TotalCharges,0.047182497
AvgMonthlyCharges,0.04615546
OnlineBackup,0.04596221
gender,0.04551859
tenure,0.044217516
Contract,0.04400627
ServiceCount,0.04392198
TechSupport,0.043249063
PhoneService,0.042075723
HasFamily,0.04176393
MultipleLines,0.0412441
PaymentMethod,0.040640328
StreamingTV,0.040559217
SeniorCitizen,0.04051198
OnlineSecurity,0.03916525
StreamingMovies,0.037723362
Partner,0.037722733
DeviceProtection,0.037662867
PaperlessBilling,0.033461582
TenureGroup,0.0
LoyaltyLevel,0.0
