customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00000,Male,0,No,Yes,56,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,26.43,5749.3,No
CUST_00001,Female,0,No,Yes,71,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No internet service,Month-to-month,No,Electronic check,99.57,3947.42,No
CUST_00002,Male,0,No,No,6,Yes,No,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,No,Mailed check,44.08,3460.14,No
CUST_00003,Male,1,No,Yes,55,Yes,No,No,No internet service,No,Yes,No internet service,No internet service,No,Month-to-month,No,Mailed check,66.05,3461.45,Yes
CUST_00004,Male,0,Yes,Yes,66,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No internet service,No,Month-to-month,No,Bank transfer,68.06,6987.82,No
CUST_00005,Female,0,Yes,No,15,Yes,No,No,No,Yes,No,No internet service,Yes,No,Two year,Yes,Credit card,76.07,3222.28,No
CUST_00006,Male,1,No,No,50,Yes,No phone service,No,No,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer,101.79,2733.84,No
CUST_00007,Male,1,Yes,No,71,Yes,Yes,DSL,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer,89.19,2774.43,Yes
CUST_00008,Male,1,No,Yes,11,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,86.31,1653.15,Yes
CUST_00009,Female,0,Yes,No,52,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer,72.67,6899.44,No
CUST_00010,Male,0,No,Yes,4,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,29.6,1258.38,No
CUST_00011,Male,0,No,Yes,26,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Two year,Yes,Credit card,60.2,7278.02,No
CUST_00012,Male,1,Yes,No,11,Yes,No phone service,No,Yes,No,No internet service,Yes,No internet service,No,Two year,Yes,Electronic check,115.73,2339.4,No
CUST_00013,Male,1,Yes,Yes,16,Yes,No,No,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,119.55,7205.47,No
CUST_00014,Female,0,No,No,5,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Credit card,93.05,6347.48,No
CUST_00015,Male,0,No,No,4,Yes,No phone service,No,No,Yes,Yes,No,No internet service,No,One year,No,Electronic check,42.75,4697.7,No
CUST_00016,Female,0,Yes,No,56,Yes,No,DSL,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,30.19,5388.81,Yes
